"year";"NazovRezortu";"typ_zmluvy";"suma_spolu";"pocet";"avg"
2012;"Ministerstvo životného prostredia SR";"nájomná zmluva";724140.634;404;1792.42731188119
2012;"Ministerstvo životného prostredia SR";"zmluva o dielo";30015058.11;853;35187.6413950762
2012;"Ministerstvo životného prostredia SR";"zmluva o poskytovaní služieb";375424.96;25;15016.9984
2012;"Ministerstvo životného prostredia SR";"zmluva o spolupráci";27014.852;66;409.315939393939
2012;"Ministerstvo životného prostredia SR";"zmluva o zriadení vecného bremena";21867.63;43;508.549534883721
2012;"Najvyšší kontrolný úrad Slovenskej republiky";"darovacia zmluva";0;2;0
2012;"Najvyšší kontrolný úrad Slovenskej republiky";"iný";238096.28;17;14005.6635294118
2012;"Najvyšší kontrolný úrad Slovenskej republiky";"kúpna zmluva";34262.88;1;34262.88
2012;"Najvyšší kontrolný úrad Slovenskej republiky";"zmluva o dielo";58398.27;5;11679.654
2012;"Najvyšší kontrolný úrad Slovenskej republiky";"zmluva o poskytovaní služieb";6000;1;6000
2012;"Najvyšší súd SR";"iný";46878.25;56;837.111607142857
2012;"Najvyšší súd SR";"nájomná zmluva";0;1;0
2012;"Národný bezpečnostný úrad";"darovacia zmluva";0;1;0
2012;"Národný bezpečnostný úrad";"dohoda o splátkach";300;1;300
2012;"Národný bezpečnostný úrad";"iný";206935.69;62;3337.67241935484
2012;"Národný bezpečnostný úrad";"kúpna zmluva";129950;1;129950
2012;"Národný bezpečnostný úrad";"zmluva o dielo";69348.87;5;13869.774
2012;"Národný bezpečnostný úrad";"zmluva o poskytovaní služieb";3900;1;3900
2012;"Národný inšpektorát práce";"iný";108416.03;50;2168.3206
2012;"Národný inšpektorát práce";"kúpna zmluva";45547;4;11386.75
2012;"Národný inšpektorát práce";"zmluva o dielo";2121;1;2121
2012;"Národný inšpektorát práce";"zmluva o poskytovaní služieb";79733.22;4;19933.305
2012;"Pôžičkový fond pre začínajúcich pedagógov";"dohoda o splátkach";26973.86;4;6743.465
2012;"Pôžičkový fond pre začínajúcich pedagógov";"iný";688277.89;445;1546.69188764045
2012;"Prešovská univerzita v Prešove";"iný";15452014.834;87;177609.365908046
